Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0402_1005Metric,65.151,-86.741,180,top
C2,10n,C_0402_1005Metric,71.247,-86.741,0,top
C3,100n,C_0402_1005Metric,70.5612,-100.33,180,top
C4,100n,C_0402_1005Metric,65.3288,-94.234,180,top
C5,1n,C_0402_1005Metric,64.2874,-99.7966,270,top
C6,10n,C_0402_1005Metric,62.992,-80.518,270,top
C7,1u,C_0402_1005Metric,61.976,-80.518,270,top
C8,470n,C_0402_1005Metric,72.898,-100.33,180,top
C9,1u,C_0402_1005Metric,60.071,-92.456,270,top
C10,1u,C_0402_1005Metric,61.722,-92.456,270,top
C11,1u,C_0402_1005Metric,74.1934,-91.0082,270,top
C12,1u,C_0402_1005Metric,72.3392,-90.9828,270,top
C13,100n,C_0402_1005Metric,67.4624,-99.8728,90,top
C14,10n,C_0402_1005Metric,70.1548,-88.2142,270,top
C15,1u,C_0402_1005Metric,71.1454,-88.2142,270,top
C16,10n,C_0402_1005Metric,65.4304,-95.9358,270,top
C17,1u,C_0402_1005Metric,64.4398,-95.9358,270,top
D1,LED,LED_0603_1608Metric,61.976,-86.487,0,top
R1,1k,R_0402_1005Metric,67.183,-86.741,180,top
R2,1k,R_0402_1005Metric,69.215,-86.741,0,top
R3,100k,R_0402_1005Metric,64.7192,-97.8916,270,top
R4,100k,R_0402_1005Metric,65.7352,-99.3648,0,top
R5,100k,R_0402_1005Metric,65.9638,-100.3554,0,top
R6,100k,R_0402_1005Metric,65.7352,-97.8916,90,top
R7,10k,R_0805_2012Metric,58.674,-97.79,270,top
R8,10k,R_0805_2012Metric,56.642,-99.06,90,top
R9,10k,R_0402_1005Metric,63.0174,-94.2086,0,top
R10,10k,R_0402_1005Metric,62.9666,-95.6818,270,top
R11,10k,R_0402_1005Metric,72.898,-99.314,0,top
R12,68k,R_0402_1005Metric,70.9168,-99.314,180,top
R13,10k,R_0402_1005Metric,74.549,-96.012,270,top
R14,10k,R_0402_1005Metric,74.549,-94.107,270,top
R15,12k,R_0402_1005Metric,74.549,-99.06,270,top
R16,2.2k,R_0402_1005Metric,59.817,-86.868,270,top
R17,10,R_0402_1005Metric,60.198,-93.98,180,top
R18,10,R_0402_1005Metric,65.278,-93.2688,180,top
R19,10,R_0402_1005Metric,72.7964,-92.5576,180,top
U1,MAX9142,SOIC-8_3.9x4.9mm_P1.27mm,65.913,-90.043,270,top
U2,NC7SB3157P6X,SOT-363_SC-70-6,60.8076,-89.916,90,top
U3,74HC02,SOIC-14_3.9x8.7mm_P1.27mm,68.072,-82.55,0,top
U4,NC7SB3157P6X,SOT-363_SC-70-6,73.66,-88.392,90,top
U5,SRV05-4,SOT-23-6,61.849,-98.806,180,top
U6,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,70.104,-96.012,270,top
