Comment,Designator,Footprint,LCSC
10n,"C1,C2,C6,C14,C16",Capacitor_SMD:C_0402_1005Metric,C15195
100n,"C3,C4,C13",Capacitor_SMD:C_0402_1005Metric,C1525
1n,C5,Capacitor_SMD:C_0402_1005Metric,C1523
1u,"C7,C9,C10,C11,C12,C15,C17",Capacitor_SMD:C_0402_1005Metric,C52923
470n,C8,Capacitor_SMD:C_0402_1005Metric,C47339
LED,D1,LED_SMD:LED_0603_1608Metric,C72043
1k,"R1,R2",Resistor_SMD:R_0402_1005Metric,C11702
10k,"R9,R10,R11,R13,R14",Resistor_SMD:R_0402_1005Metric,C25744
68k,R12,Resistor_SMD:R_0402_1005Metric,C36871
12k,R15,Resistor_SMD:R_0402_1005Metric,C25752
2.2k,R16,Resistor_SMD:R_0402_1005Metric,C25879
10,"R17,R18,R19",Resistor_SMD:R_0402_1005Metric,C25077
100k,"R3,R4,R5,R6",Resistor_SMD:R_0402_1005Metric,C25741
10k,"R7,R8",Resistor_SMD:R_0805_2012Metric,C17414
MAX9142,U1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C18567
NC7SB3157P6X,"U2,U4",Package_TO_SOT_SMD:SOT-363_SC-70-6,C87403
74HC02,U3,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C5588
SRV05-4,U5,Package_TO_SOT_SMD:SOT-23-6,C85364
MCP6004,U6,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C50282
